,Human A13,Human A14,Human A19,Human A1C,Human A23,Human A25,Human A29-A30,Human A32,Human A35-A36,Human A35r,Human A38,Human A40,Human A43,Human A44-A45,Human A46,Human A5-A7,Human ACC,Human ANC,Human AON,Human BL,Human BM,Human BNST,Human CA1,Human CA1-2R,Human CA1C-CA3C,Human CA1R-CA2R-CA3R,Human CA1U-CA2U-CA3U,Human CA2U-CA3U,Human CA3R,Human CA4C-DGC,Human CBL,Human CBV,Human CEN,Human CM,Human CM-Pf,Human CMN,Human CaB,Human CbDN,Human Cla,Human CoA,Human DGR-CA4,Human DGR-CA4Rpy,Human DGU-CA4Upy,Human DTg,Human ETH,Human FI,Human GPe,Human GPi,Human HTHma,Human HTHma-HTHtub,Human HTHpo,Human HTHpo-HTHso,Human HTHso,Human HTHso-HTHtub,Human HTHtub,Human IC,Human IO,Human ITG,Human Idg,Human Ig,Human LEC,Human LG,Human LP,Human LP-VPL,Human La,Human M1C,Human MD,Human MD-Re,Human MEC,Human MG,Human MN,Human MTG,Human MoAN,Human MoRF-MoEN,Human MoSR,Human NAC,Human PAG,Human PAG-DR,Human PB,Human PN,Human PTR,Human Pir,Human PnAN,Human PnEN,Human PnRF,Human Pro,Human Pu,Human Pul,Human RN,Human S1C,Human SC,Human SEP,Human SI,Human SN,Human SN-RN,Human STG,Human STH,Human SpC,Human Sub,Human TF,Human TH-TL,Human V1C,Human V2,Human VA,Human VLN,Human VPL
Cluster407,0,0,0,1,0,0,0,0,430,0,3,0,0,0,0,0,0,6,3,65,188,5,33,3,0,3,13,0,1,0,0,0,737,0,0,645,0,0,1,8,0,0,0,0,0,1,0,0,0,1,0,11,2,2,0,0,0,0,2,0,26,0,0,0,72,4,0,0,31,0,0,0,0,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,10,0,1,0,0,0,0,0
Cluster408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster409,3,0,0,1,0,2,0,1,1,0,6,0,3,0,1,0,2,154,188,17,1,633,0,0,0,0,5,0,2,37,0,0,61,5,29,58,1136,0,37,17,0,0,0,0,2,21,484,80,2,3,73,138,19,19,1,0,0,0,11,12,2,7,105,0,124,6,16,0,2,1,3,1,0,0,0,738,0,0,0,0,1,20,0,0,0,0,731,19,0,0,0,218,831,6,2,1,13,0,0,0,0,0,0,214,61,8
Cluster410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12,32,20,1480,0,125,384,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,2,0,4,0,0,1,2,1,0,0,0,0,0,0,3,6,6,0,0,2,0,0,0,0,0,0,0,0,0
Cluster411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,54,621,2,611,0,100,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,179,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
Cluster412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,350,1333,2,132,0,106,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2290,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,106,1,0,6,0,0,0,0,0,0,0,0,0
Cluster413,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,844,1002,2,328,0,50,253,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1788,0,0,3,2,0,44,7,45,0,0,3,0,14,1,0,0,1,0,0,0,1,2,174,19,0,12,0,1,0,0,0,0,0,0,0
Cluster414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,403,1259,0,114,0,70,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,14,17,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,202,12,0,20,0,0,0,0,0,0,0,0,0
Cluster415,0,1,0,1,2,2,0,1,5,0,0,3,2,0,0,1,5,488,9,4,14,511,2,0,1,3,5,0,1,2,0,0,72,5,117,85,0,17,0,3,1,0,0,227,185,2,13,6,262,1906,1078,7957,14,6877,1938,88,8,0,1,2,0,55,0,0,3,29,5,15,5,15,288,2,64,251,241,27,430,573,175,15,270,14,36,259,81,0,1,3,2,1,164,210,81,332,107,0,13,73,2,1,1,2,0,19,23,1
Cluster416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,1,0,267,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,12,351,536,331,0,639,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,4,193,0,0,8,0,0,0,0,0,0,0,0,0
Cluster417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1037,0,48,0,1218,1253,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,151,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0
Cluster418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,555,1,222,0,2801,1771,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
Cluster419,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,105,0,20,534,52,0,0,0,0,1,0,0,0,0,0,399,0,0,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,5,1,0
Cluster420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,1,178,0,0,0,0,1,0,0,0,0,0,29,0,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,72,157,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,8,1,1,0,0,0,0,0,0,0,0,10,0,0
Cluster421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,1,231,0,0,0,0,1,0,0,0,0,0,38,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,415,216,0,274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,2,0,0,0,0,0,0,0,0,0,2,0,0
Cluster422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,1,3,1,663,0,0,0,0,0,0,0,0,0,0,7,0,1,15,0,0,0,0,0,0,0,1,0,0,3,0,0,6,590,227,1,419,72,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2,2,0,0,0,9,0,0,3,0,0,0,0,0,0,239,93,8,0,0,0,0,0,0,0,0,0,0,0,0
Cluster423,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0,598,2,24,111,399,1,3,0,0,1,0,0,0,0,0,542,0,0,429,0,0,1,9,0,0,1,0,0,1,173,24,0,0,118,279,0,81,0,0,0,0,2,0,9,0,0,0,62,0,0,0,3,0,1,0,0,0,0,13,0,0,0,0,0,24,0,0,0,0,3,0,0,0,0,6,118,1,0,0,0,0,0,0,0,0,0,18,1,0
Cluster424,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,702,2,5,26,404,0,0,0,0,0,0,0,0,0,0,217,0,0,178,0,0,0,1,0,1,0,0,1,0,1,0,2,1,241,370,1,167,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,5,36,0,0,0,0,0,0,0,0,0,0,3,0,0
Cluster425,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1484,3,5,14,997,1,1,2,1,3,0,7,0,0,0,151,0,4,70,0,0,0,1,0,1,0,2,0,0,10,1,7,17,269,699,6,236,12,4,0,0,2,0,2,2,0,0,1,5,1,1,1,0,8,0,0,0,1,14,8,1,5,0,1,6,0,0,0,0,1,0,0,0,0,39,116,7,0,0,1,1,0,0,0,0,0,9,2,0
Cluster426,1,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,47,9,6,139,34,0,1,0,0,0,0,0,0,0,0,581,0,0,502,1,0,7,9,0,0,0,0,1,1,11,0,0,0,9,20,7,2,0,0,0,0,0,0,2,0,0,0,39,13,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0
Cluster427,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,452,5,0,9,1597,0,0,0,0,0,0,0,0,0,0,311,0,0,26,0,0,0,0,0,0,0,0,0,0,15,0,0,0,340,315,0,7,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,256,1,0,0,0,0,0,0,0,0,0,29,1,0
Cluster428,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,182,48,2,1,394,0,0,0,1,2,0,2,1,0,0,14,0,0,69,14,0,0,32,2,0,0,0,0,0,0,0,0,2,178,165,23,68,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,80,0,0,1,0,0,1,0,0,0,1753,93,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster429,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1267,23,0,0,2333,0,0,0,0,0,0,0,0,0,0,3,0,0,18,7,0,0,0,0,0,0,1,0,0,1,0,0,0,340,190,2,121,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,592,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,4725,149,0,0,0,1,0,0,0,0,0,0,0,0,0
Cluster430,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,59,0,11,488,406,10,0,0,0,0,0,0,0,0,0,854,0,0,38,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,127,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,10,0,0
Cluster431,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62,383,0,2,0,371,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Cluster432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,804,0,48,0,79,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,15,0,0,0,0,0,0,0,0,0
Cluster433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,26,0,0,1,1,1,0,0,0,0,1,123,0,0,0,0,0,11,0,0,0,8,0,1,0,53,15,0,0,0,0,0,54,49,3,0,187,0,0,0,1,0,0,18,10,0,699,0,0,18,68,0,0,0,0,0,0,0,0,0,0,0
Cluster434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,265,755,0,0,2,0,0,0,0,0,18,140,0,0,0,3,5,0,0,0,0,0,17,7,0,0,0,0,1291,1197,293,0,0,616,40,0,643,20,0,0,1,1,0,113,19,12,39,73,0,1,26,14,0,0,413,83,0,44,0,1,36,366,0,0,0,0,0,0,0,0,2,1400,486
Cluster435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,528,965,0,0,0,0,0,0,0,0,13,102,0,5,15,12,9,0,6,0,0,1,116,0,0,0,0,0,64,212,172,0,0,82,117,0,154,24,0,1,0,0,0,541,155,23,5,377,0,0,7,11,0,0,137,493,0,94,0,4,480,1774,0,6,0,0,0,0,0,0,5,517,77
Cluster436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196,359,0,0,1,0,0,0,1,0,6,411,0,2,4,2,5,0,2,0,1,1,164,0,0,0,0,0,3929,777,146,0,0,389,327,0,525,7,0,0,0,0,0,105,109,5,2,768,0,1,0,2,0,0,3658,16,0,1039,0,0,80,148,0,2,1,0,0,0,0,0,4,331,98
Cluster437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,134,294,0,0,3,0,0,0,0,0,6,769,0,0,0,3,0,0,0,0,0,1,58,0,0,0,0,0,642,235,63,0,0,730,368,0,238,3,0,0,0,0,0,50,56,15,1,185,0,2,2,3,0,0,1208,3,0,457,0,0,17,23,0,1,1,0,0,0,0,0,3,233,75
Cluster438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,215,1063,1,0,4,0,0,0,0,0,199,307,0,4,18,153,216,0,17,0,17,69,275,11,0,0,0,0,697,275,79,0,0,120,86,0,551,581,0,1,21,4,0,843,289,214,121,772,0,22,252,96,0,0,258,689,0,352,1,5,758,1382,0,35,0,0,0,0,0,0,4,603,184
Cluster439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,2,2,33,0,0,0,0,0,0,0,0,0,0,14,566,794,3,0,9,0,0,0,0,0,621,1383,0,8,7,325,215,25,139,0,53,59,1154,12,0,0,0,0,454,95,86,2,1,204,261,0,1368,152,0,4,3,8,0,2160,1586,996,42,1965,0,19,339,222,0,0,661,166,0,2348,3,24,688,1019,0,101,0,0,0,0,0,0,17,404,52
Cluster440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,2,21,0,0,0,0,0,0,0,0,0,0,1,231,680,1,0,4,0,0,0,0,0,29,1118,0,2,1,1,5,0,3,0,4,0,99,0,0,0,0,0,288,311,43,0,0,771,506,0,401,4,0,0,0,1,0,70,40,42,37,259,0,2,19,11,0,0,860,11,0,175,0,5,57,43,0,7,1,0,0,0,0,0,42,697,69
Cluster441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,306,1207,2,0,7,0,0,0,0,0,42,2972,0,2,0,17,10,0,14,0,4,3,249,1,0,0,0,0,1161,1701,69,0,0,3119,1774,0,1288,9,0,0,0,1,0,217,232,73,21,556,0,1,17,14,0,0,3509,15,0,586,0,0,72,95,0,9,0,0,0,0,0,0,72,1467,181
Cluster442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,396,0,0,1,0,0,0,0,0,1,448,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,133,1099,91,0,0,1451,889,0,318,0,0,0,0,0,0,1,5,0,5,32,0,1,2,0,0,0,1776,3,0,14,0,0,2,2,0,0,0,0,0,0,0,0,11,632,109
Cluster443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,165,571,0,0,1,0,0,0,0,0,2,597,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,0,499,1976,156,0,0,2115,818,0,364,3,0,0,0,0,0,17,18,4,2,103,0,0,6,1,0,0,3841,8,0,54,0,1,8,11,0,0,0,0,0,0,0,0,19,1576,115
Cluster444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,43,44,0,0,2,0,0,0,0,0,12,132,0,0,1,5,0,0,7,0,3,2,62,0,0,0,0,0,2284,39,12,0,1,169,106,0,104,1,0,0,2,0,0,82,92,30,10,105,0,2,16,7,0,0,186,7,0,163,0,1,16,33,0,1,0,0,0,0,0,0,7,105,12
Cluster445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2884,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
Cluster448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,157,1003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,726,10,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,10,3279,42
Cluster449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,44,57,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1909,0,0,0,20,7,0,12,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,264,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,171,78
Cluster450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,447,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,1415,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,295,0
Cluster451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,230,0,0,0,0,0,0,0,0,0,1953,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,2838,895,0,6,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,867,0
Cluster452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,27,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3718,234,3,0,0,2,0,0,331,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,188,0,0,0,0,0,7,27,0,0,0,0,0,0,0,0,0,104,363
Cluster453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,713,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,81,17,0,0,2,1,0,1372,0,0,0,0,0,0,0,8,0,0,799,0,0,0,0,0,0,354,0,0,17,0,0,29,110,0,0,0,0,0,0,0,0,0,134,34
Cluster454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,0,0,0,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1023,13,0,0,172,154,0,30,0,0,0,0,0,0,1,2,0,0,16,0,0,0,0,0,0,9140,0,0,43,0,0,1,2,0,0,0,0,0,0,0,0,0,25,137
Cluster455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,26,25,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cluster456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Cluster457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,58,480,0,0,0,0,0,0,0,0,0,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,75,0,0,0,1456,312,0,86,0,0,0,0,0,0,1,58,0,0,409,0,0,0,0,0,0,928,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,545,2
Cluster459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,0,1,415,0,0,0,0,0,0,0,0,0,0,0,60,937,0,0,0,0,0,0,0,0,0,589,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1174,320,0,1,0,0,0,0,0,0,7,4,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0
Cluster460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2165,2974,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,175,0,10,74,498,0,2,0,0,0,0,0,0,0,41,0,0,24,0,0,0,0,0,0,189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,2
